chirp,ID,chDur,carrier_freq,temp,mean_temp,temp_diff,chDur_decrease,carrier_increase,chDur_target,carrier_target,time_scale_factor,freq_scale_factor
BKB12_23,BKB,6189.0,5986.23046875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5975.248,6092.7104687500005,0.9654625949264825,1.0177874875609718
BKB12_24,BKB,5982.0,6244.62890625,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5768.248,6351.1089062500005,0.9642674690738884,1.0170514535929316
BKB12_25,BKB,5944.0,6244.62890625,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5730.248,6351.1089062500005,0.9640390309555854,1.0170514535929316
BKB12_26,BKB,5937.0,6266.162109375,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5723.248,6372.6421093750005,0.9639966312952668,1.0169928575324747
BKB12_29,BKB,5998.0,6223.095703125,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5784.248,6329.5757031250005,0.9643627875958652,1.0171104551624572
BKB12_30,BKB,5872.0,6287.6953125,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5658.248,6394.1753125000005,0.9635980926430516,1.0169346628148976
BKB12_31,BKB,5818.0,6180.029296875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5604.248,6286.5092968750005,0.96326022688209,1.0172296917837984
BKB12_34,BKB,6234.0,6223.095703125,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,6020.248,6329.5757031250005,0.965711902470324,1.0171104551624572
BKB12_36,BKB,5957.0,6029.296875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5743.248,6135.7768750000005,0.9641175088131608,1.0176604340783932
BKB12_37,BKB,5896.0,6050.830078125,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5682.248,6157.3100781250005,0.9637462686567164,1.0175975855585415
BKB12_39,BKB,6101.0,5964.697265625,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5887.248,6071.1772656250005,0.964964432060318,1.0178517023175095
BKB12_41,BKB,5948.0,6115.4296875,27.0,28.6,1.6000000000000014,213.75200000000015,106.48000000000008,5734.248,6221.9096875000005,0.9640632145258908,1.017411695570247
