chirp,ID,chDur,carrier_freq,temp
LPL31_161,LPL,5984.0,5512.5,28.1
LPL31_162,LPL,6265.0,5641.69921875,28.1
LPL31_164,LPL,6052.0,5598.6328125,28.1
BKB12_2,BKB,6457.0,6244.62890625,27.0
BKB12_14,BKB,6125.0,5986.23046875,27.0
BKB12_15,BKB,6027.0,5986.23046875,27.0
BKB12_16,BKB,5879.0,5921.630859375,27.0
BKB12_19,BKB,5998.0,5986.23046875,27.0
BKB12_21,BKB,5910.0,6201.5625,27.0
BKB12_23,BKB,6189.0,5986.23046875,27.0
BKB12_24,BKB,5982.0,6244.62890625,27.0
BKB12_25,BKB,5944.0,6244.62890625,27.0
BKB12_26,BKB,5937.0,6266.162109375,27.0
BKB12_29,BKB,5998.0,6223.095703125,27.0
BKB12_30,BKB,5872.0,6287.6953125,27.0
BKB12_31,BKB,5818.0,6180.029296875,27.0
BKB12_34,BKB,6234.0,6223.095703125,27.0
BKB12_36,BKB,5957.0,6029.296875,27.0
BKB12_37,BKB,5896.0,6050.830078125,27.0
BKB12_39,BKB,6101.0,5964.697265625,27.0
BKB12_41,BKB,5948.0,6115.4296875,27.0
BKB12_43,BKB,6125.0,6007.763671875,27.0
BKB12_45,BKB,6159.0,6266.162109375,27.0
